uniprot,pdb,name,resolution,method,ok,reason,n_ca,n_chains,n_span,n_dropped,contam_flag,size_cv,c0_invnm,A_foot_nm2,r_out,r_in,r_mid
A0A7S3VKF3,7PI5,Hypothetical protein,2.78,EM,True,,7457,4.0,44.0,40.0,True,0.038,0.0015486090331989,107.63863429,57.76088570577449,57.54333415521173,58.5341280193261
A0A1C8XRP4,7PI5,Cytochrome b559 subunit beta,2.78,EM,True,,7457,4.0,44.0,40.0,True,0.038,0.0015486090331989,107.63863429,57.76088570577449,57.54333415521173,58.5341280193261
Q9KNE0,5ULD,"Transporter, NadC family",2.78,X-ray,True,,890,2.0,2.0,0.0,False,0.0,0.0164412583015547,27.810100445000007,30.13651188077187,28.962499609128635,29.752697201107228
P0AGM7,3QE7,Uracil permease,2.781,X-ray,True,,407,1.0,1.0,0.0,False,0.0,0.0362833109124603,12.307150755000002,20.38142615282629,18.657883736342097,19.792644482410136
D5AUZ7,5X3X,Uncharacterized protein CbiQ,2.788,X-ray,True,,1010,2.0,2.0,0.0,False,0.08,-0.2303275132888347,6.46415399,8.92723635566497,16.856593349742322,14.344351225591891
O68106,5X3X,Cobalt ABC transporter ATP-binding protein,2.788,X-ray,True,,1010,2.0,2.0,0.0,False,0.08,-0.2303275132888347,6.46415399,8.92723635566497,16.856593349742322,14.344351225591891
Q9FGQ2,5XPD,sugar transporter,2.788,X-ray,True,,269,1.0,1.0,0.0,False,0.0,-0.0496433056346193,5.446025940000002,10.84889835934667,12.417587357340384,13.166335470112298
D5AUZ9,5X3X,Cobalt transport protein CbiM,2.788,X-ray,True,,1010,2.0,2.0,0.0,False,0.08,-0.2303275132888347,6.46415399,8.92723635566497,16.856593349742322,14.344351225591891
P56782,7OUI,Photosystem II reaction center protein K,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P30968,7BR3,"Gonadotropin-releasing hormone receptor,GlgA glycogen synthase,Gonadotropin-releasing hormone receptor",2.79,X-ray,True,,470,1.0,1.0,0.0,False,0.0,0.0820946221205248,4.75695603,13.49980839695008,11.075345277506292,12.305227070194997
Q9S7M0,7OUI,"Chlorophyll a-b binding protein 3, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56790,7OUI,Photosystem II reaction center protein Z,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56696,7VNP,"Potassium voltage-gated channel subfamily KQT member 4,Maltodextrin-binding protein",2.79,EM,True,,1904,4.0,4.0,0.0,False,0.0,0.001974216439157,48.2911221,38.49169771099047,38.30593235775732,39.20655758841694
P56780,7OUI,Photosystem II reaction center protein H,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P62100,7OUI,Photosystem II reaction center protein I,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56778,7OUI,Photosystem II CP43 reaction center protein,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56779,7OUI,Cytochrome b559 subunit alpha,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56777,7OUI,Photosystem II CP47 reaction center protein,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P56761,7OUI,Photosystem II D2 protein,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P60129,7OUI,Photosystem II reaction center protein L,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
A0A7G2E9B1,7OUI,(thale cress) hypothetical protein,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P37432,3NSG,Outer membrane protein F,2.79,X-ray,True,,1027,3.0,3.0,0.0,False,0.004,0.0008764272598005,33.823329335000004,32.99612963760633,32.92711195712214,32.81204064208857
Q9XF89,7OUI,"Chlorophyll a-b binding protein CP26, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
A0QXA7,7D5I,Integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB,2.79,EM,True,,793,1.0,2.0,1.0,True,0.0,0.0112945055401667,7.750396545000001,15.363143522584554,14.937382902313752,15.706775105406567
P61839,7OUI,Photosystem II reaction center protein T,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P62095,7OUI,Cytochrome b559 subunit beta (PsbF),2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
Q39195,7OUI,"Photosystem II 5 kDa protein, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
Q39194,7OUI,"Photosystem II reaction center W protein, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
A0QXA8,7D5I,Cytochrome D ubiquinol oxidase subunit 1,2.79,EM,True,,793,1.0,2.0,1.0,True,0.0,0.0112945055401667,7.750396545000001,15.363143522584554,14.937382902313752,15.706775105406567
Q39142,7OUI,"Chlorophyll a-b binding protein, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P62109,7OUI,Photosystem II reaction center protein M,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
Q07473,7OUI,"Chlorophyll a-b binding protein CP29.1, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P23321,7OUI,"Oxygen-evolving enhancer protein 1-1, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P83755,7OUI,Photosystem II protein D1,2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
P04778,7OUI,"Chlorophyll a-b binding protein 1, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
Q9LMQ2,7OUI,"Chlorophyll a-b binding protein, chloroplastic",2.79,EM,True,,8346,4.0,48.0,44.0,True,0.06,0.0034153110149488,105.051280825,57.06064716262243,56.586659279013176,57.82634455234671
Q47WB4,7TAK,Putative membrane protein PurT,2.79828,X-ray,True,,901,2.0,2.0,0.0,False,0.001,-0.0212186650561191,23.762816865000005,27.9629915993479,29.36355677372513,27.50261720583045
F8W463,4DW1,P2X purinoceptor,2.8,X-ray,True,,972,3.0,3.0,0.0,False,0.0,0.0449896208247621,6.80501672,15.73211219682015,14.142968255068425,14.717690367792065
F2Z293,3PL9,Chlorophyll A-B binding protein,2.8,X-ray,True,,156,1.0,1.0,0.0,False,0.0,0.2250359733530875,2.3760345550000004,11.301919105151878,6.604983243363755,8.696638941400314
P48039,6ME2,chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase,2.8,X-ray,True,,488,1.0,1.0,0.0,False,0.0,0.0477284103743939,5.36515473,13.066773343314322,11.569833316305829,13.068212545963302
Q9AEL8,7QHM,Cytochrome c oxidase subunit 3,2.8,EM,True,,5900,4.0,20.0,16.0,True,0.038,0.0508169172981173,71.99389589999998,51.39622787251936,45.55784651628378,47.87104428551426
P02920,6VBG,Galactoside permease,2.8,X-ray,True,,517,1.0,1.0,0.0,False,0.0,0.0237418847192508,9.461985934999998,17.176093757899757,16.187215914378463,17.354664116722276
A0A2K1IHL7,7KUX,PsaE,2.8,EM,True,,3259,2.0,14.0,12.0,True,0.007,0.0427716332218085,37.49177491,37.22828400951278,33.68210920497262,34.54562577871531
A0A2K1IB10,7KUX,"Chlorophyll a-b binding protein, chloroplastic",2.8,EM,True,,3259,2.0,14.0,12.0,True,0.007,0.0427716332218085,37.49177491,37.22828400951278,33.68210920497262,34.54562577871531
P05311,4XK8,Photosystem I P700 chlorophyll a apoprotein A2,2.8,X-ray,True,,3176,2.0,13.0,11.0,True,0.006,0.027556407277929,38.628848340000005,36.29234491419719,33.973269986966564,35.06557331417285
Q950Z1,8B6J,Apocytochrome b,2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
Q94IB8,7YJO,atLCB1,2.8,EM,True,,1107,1.0,3.0,2.0,True,0.0,-0.086479614423191,2.48774441,6.860467875985083,8.707408481536866,8.89872822374895
Q96A98,7F16,Tuberoinfundibular peptide of 39 residues,2.8,EM,True,,1169,1.0,1.0,0.0,False,0.0,0.0346253006265399,5.106541910000001,13.538324829820112,12.478843498962863,12.749363804381996
A0A2K1IW94,7KUX,"Chlorophyll a-b binding protein, chloroplastic",2.8,EM,True,,3259,2.0,14.0,12.0,True,0.007,0.0427716332218085,37.49177491,37.22828400951278,33.68210920497262,34.54562577871531
A0A2K1IN36,7KUX,PSI-F,2.8,EM,True,,3259,2.0,14.0,12.0,True,0.007,0.0427716332218085,37.49177491,37.22828400951278,33.68210920497262,34.54562577871531
P49190,7F16,Parathyroid hormone 2 receptor,2.8,EM,True,,1169,1.0,1.0,0.0,False,0.0,0.0346253006265399,5.106541910000001,13.538324829820112,12.478843498962863,12.749363804381996
P49146,7DDZ,Human Neuropeptide Y Y2 Receptor fusion protein,2.8,X-ray,True,,437,1.0,1.0,0.0,False,0.0,0.0383039106663984,5.164534564999999,12.82692759682124,11.648250036743574,12.8215537653492
Q9LSZ9,7YJO,Long chain base biosynthesis protein 2a,2.8,EM,True,,1107,1.0,3.0,2.0,True,0.0,-0.086479614423191,2.48774441,6.860467875985083,8.707408481536866,8.89872822374895
P42838,7KYC,Alkylphosphocholine resistance protein LEM3,2.8,EM,True,,1552,1.0,2.0,1.0,True,0.0,-0.0138719399181842,8.509382590000001,15.8404575488383,16.388384332033166,16.457887482047113
H9ZSC3,5AZD,Bacteriorhodopsin,2.8,X-ray,True,,1002,4.0,4.0,0.0,False,0.002,-0.0026658815498589,29.154884984999995,29.852577474597584,30.0474868907612,30.463565321998765
P31391,7XMT,Somatostatin receptor type 4,2.8,EM,True,,1068,1.0,1.0,0.0,False,0.0,0.0357146267534118,5.359161375,12.793091871803297,11.673574496224576,13.060911328528409
Q99380,8AGE,OST4 isoform 1,2.8,EM,True,,2100,1.0,8.0,7.0,True,0.0,-0.0252087284039646,11.085691959999998,17.179407889429246,18.31590581647932,18.784795303798663
P04037,6T0B,"Cytochrome c oxidase subunit 4, mitochondrial",2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
P04039,6T0B,"Cytochrome c oxidase polypeptide VIII, mitochondrial",2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
P46964,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2,2.8,EM,True,,2100,1.0,8.0,7.0,True,0.0,-0.0252087284039646,11.085691959999998,17.179407889429246,18.31590581647932,18.784795303798663
P47863,2ZZ9,Aquaporin-4,2.8,EM,True,,892,4.0,4.0,0.0,False,0.0,0.0015680219365354,27.519970955000005,29.23378707054966,29.122405733975555,29.597092462718827
Q38998,7T4X,Potassium channel AKT1,2.8,EM,True,,1778,4.0,4.0,0.0,False,0.012,-0.0054862401205207,46.750698975,38.54829884320995,39.056230371747695,38.576170973471314
D2ZZC1,4QTN,Nicotinamide riboside transporter PnuC,2.8,X-ray,True,,707,3.0,3.0,0.0,False,0.004,-0.0206025994162059,25.14872747,26.548235826505483,27.9472313702373,28.29326523864446
Q9UK17,7W6S,Isoform 2 of Potassium voltage-gated channel subfamily D member 3,2.8,EM,True,,2508,4.0,4.0,0.0,False,0.0,0.0250606026881615,43.94967854000001,38.96802755140139,36.71842566233405,37.40269665930732
Q29259,7V2E,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,2.8,EM,True,,8269,1.0,20.0,19.0,True,0.0,-0.0093649006301929,31.784862855,29.948087110941756,30.66299427608431,31.80791737561962
Q1M0Y5,3EBW,Per a 4 allergen,2.8,X-ray,False,no_TM_span,157,0.0,,,,,,,,,
P18825,6KUW,Alpha-2C adrenergic receptor,2.8,X-ray,True,,947,2.0,2.0,0.0,False,0.003,0.0070631921325994,15.004205555,21.62913199408587,21.25866985669405,21.85403157884204
Q24IM5,8B6J,Cytochrome protein c1,2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
Q2V2P9,6T0B,Cox26,2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
B1AL88,6XIW,Transmembrane protein FAM155A,2.8,EM,True,,1400,1.0,1.0,0.0,False,0.0,-0.0034256681450522,46.06485295499999,37.83765165459303,38.1524746445317,38.29216382130827
P21462,7VFX,fMet-Leu-Phe receptor,2.8,EM,True,,1140,1.0,1.0,0.0,False,0.0,0.0605290367691185,5.28520997,13.38694412207085,11.502725937035862,12.970484123609788
Q0SXH8,4N4W,"Cytochrome b(562),Smoothened homolog",2.8,X-ray,True,,459,1.0,1.0,0.0,False,0.0,0.0086334463488681,4.889250395000001,12.386332189530744,12.127843443556571,12.475162270513774
A8MSB8,7YJO,"Transmembrane protein, putative (DUF3317)",2.8,EM,True,,1107,1.0,3.0,2.0,True,0.0,-0.086479614423191,2.48774441,6.860467875985083,8.707408481536866,8.89872822374895
A9UTG5,2XHE,SYNTAXIN1,2.8,X-ray,False,no_TM_span,786,0.0,,,,,,,,,
Q28107,1SDD,Coagulation factor V,2.8,X-ray,False,no_TM_span,870,0.0,,,,,,,,,
P19491,8AYN,Isoform Flip of Glutamate receptor 2,2.8,EM,True,,2012,4.0,6.0,2.0,True,0.006,-0.0452111312850582,16.90757619,21.044425924624257,23.56165277832976,23.198811721040087
P19490,8AYN,Isoform Flip of Glutamate receptor 1,2.8,EM,True,,2012,4.0,6.0,2.0,True,0.006,-0.0452111312850582,16.90757619,21.044425924624257,23.56165277832976,23.198811721040087
Q1GBG0,6ZG3,Conserved hypothetical membrane protein,2.8,X-ray,True,,1156,1.0,2.0,1.0,True,0.0,-0.1349918026657411,3.19748426,8.879765741368537,12.148261380873016,10.088562092166862
Q23K66,8B6J,Ubiquinol-cytochrome C reductase hinge protein,2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
Q15465,7URF,SHH-N peptide,2.8,EM,True,,722,1.0,1.0,0.0,False,0.0,-0.0713863642031068,16.75150875,20.25283319891166,24.209035880509923,23.091493766361832
P32799,6T0B,"Cytochrome c oxidase subunit 6A, mitochondrial",2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
Q9HVM5,5DIR,Lipoprotein signal peptidase,2.8,X-ray,True,,161,1.0,1.0,0.0,False,0.0,0.1064806492485453,2.085924164999999,8.977714472926918,6.895352359742287,8.148437172545226
P32660,7KYC,Phospholipid-transporting ATPase DNF1,2.8,EM,True,,1552,1.0,2.0,1.0,True,0.0,-0.0138719399181842,8.509382590000001,15.8404575488383,16.388384332033166,16.457887482047113
Q13324,6PB1,Corticotropin-releasing factor receptor 2,2.8,EM,True,,1074,1.0,1.0,0.0,False,0.0,0.0418611752999208,5.19667904,14.074813878375169,12.78267060787554,12.861393057348378
Q15036,3FOG,Sorting nexin-17,2.8,X-ray,False,no_TM_span,102,0.0,,,,,,,,,
Q9NS61,7W6S,Kv channel-interacting protein 2,2.8,EM,True,,2508,4.0,4.0,0.0,False,0.0,0.0250606026881615,43.94967854000001,38.96802755140139,36.71842566233405,37.40269665930732
P14693,7BTX,Sorting assembly machinery 35 kDa subunit,2.8,EM,True,,1268,2.0,2.0,0.0,False,0.051,0.0241560691726642,26.388859599999996,30.2610141432052,28.58076810066421,28.982468659167097
P63359,6BL6,Lipid A export ATP-binding/permease protein MsbA,2.8,X-ray,True,,1150,2.0,2.0,0.0,False,0.0,-0.0959047073568518,12.299070485,15.809470657624765,20.363673552779552,19.786145977038505
Q9HUR5,2QTK,Probable porin,2.8,X-ray,True,,371,1.0,1.0,0.0,False,0.0,-0.0176887895651101,10.865733954999998,18.343958224750743,19.133479712531088,18.597501279794013
P33767,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1,2.8,EM,True,,2100,1.0,8.0,7.0,True,0.0,-0.0252087284039646,11.085691959999998,17.179407889429246,18.31590581647932,18.784795303798663
P23979,6Y5A,5-hydroxytryptamine receptor 3A,2.8,EM,True,,1945,5.0,5.0,0.0,False,0.003,0.0433706326212277,26.067454205,29.812109483090623,26.81376607682782,28.80543070515476
P23945,8I2G,Follicle-stimulating hormone receptor,2.8,EM,True,,1543,1.0,1.0,0.0,False,0.0,0.0494835993203322,4.406392870000002,13.032634747685506,11.62613650154757,11.843134774757768
Q04519,5FIC,Sphingomyelin phosphodiesterase,2.8,X-ray,False,no_TM_span,527,0.0,,,,,,,,,
P16615,6LN7,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,2.8,EM,True,,1013,1.0,1.0,0.0,False,0.0,0.0216533023308338,9.3202325,17.362289084971614,16.46718442476983,17.224175296023514
Q53TN4,5ZLG,Cytochrome b reductase 1,2.8,X-ray,True,,452,2.0,2.0,0.0,False,0.0,-0.0592626892069327,10.683006985000002,16.27467859581471,18.89747401471127,18.440462948353524
Q58K79,3WGU,Na+/K+ ATPase gamma subunit transcript variant a,2.8,X-ray,True,,1331,1.0,3.0,2.0,True,0.0,-0.0002378854836877,7.518200165,15.244386888013183,15.253218931295253,15.469704065780013
Q5JWF2,8I2G,chimera of Guanine nucleotide-binding protein G(s) subunit alpha and Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,2.8,EM,True,,1543,1.0,1.0,0.0,False,0.0,0.0494835993203322,4.406392870000002,13.032634747685506,11.62613650154757,11.843134774757768
P12357,4XK8,"Photosystem I reaction center subunit V, chloroplastic",2.8,X-ray,True,,3176,2.0,13.0,11.0,True,0.006,0.027556407277929,38.628848340000005,36.29234491419719,33.973269986966564,35.06557331417285
Q5SKE6,5YHF,Protein translocase subunit SecDF,2.8,X-ray,True,,735,1.0,1.0,0.0,False,0.0,-0.0059415342786943,10.296238705,17.85437676780451,18.112528006754943,18.10357580786097
P60752,7PH4,ATP-dependent lipid A-core flippase,2.8,EM,True,,1378,2.0,2.0,0.0,False,0.0,-0.0421537462666439,9.38231518,15.583305958245884,17.331652389943898,17.28144576442102
P35372,8EFO,Mu-type opioid receptor,2.8,EM,True,,1441,2.0,2.0,0.0,False,0.0,0.0158639899689035,13.04594714,20.961426704359763,20.185561028487832,20.37806160873293
C6T221,4XK8,Putative uncharacterized protein,2.8,X-ray,True,,3176,2.0,13.0,11.0,True,0.006,0.027556407277929,38.628848340000005,36.29234491419719,33.973269986966564,35.06557331417285
P74810,7R0W,Cytochrome b6-f complex subunit 7,2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
P74149,7R0W,Cytochrome b6-f complex subunit 5,2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
P77335,6MRT,"Hemolysin E, chromosomal",2.8,EM,True,,3420,12.0,12.0,0.0,False,0.0,0.1003166121333276,61.23458238499998,45.01396422759781,34.38459379633596,44.14926154476573
B5TM92,8BQ6,NADH-ubiquinone oxidoreductase chain 1,2.8,EM,True,,12129,1.0,33.0,32.0,True,0.0,-0.0051863494083499,33.96961422999999,31.7425668917373,32.15186843768103,32.88291963810175
A0A7M4DUF5,6ZKF,"Mitochondrial complex I, PDSW subunit",2.8,EM,True,,8158,1.0,20.0,19.0,True,0.0,-0.003580399489474,30.48987428,30.38594822971963,30.653646526927847,31.15321558334691
Q7CQU0,3Q7K,Probable formate transporter,2.8,X-ray,True,,1265,5.0,5.0,0.0,False,0.05,0.0088602144176582,37.03001068,35.0069655053365,34.276907351283235,34.3322275492508
Q57038,7R0W,Cytochrome b6,2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
B4FZ94,6I1R,CMP-sialic acid transporter 1,2.8,X-ray,True,,309,1.0,1.0,0.0,False,0.0,0.069310773794535,8.047164920000002,17.33932470464744,14.677015438509724,16.004662288806326
O32739,6UWR,ADP-ribosyltransferase binding component,2.8,EM,True,,4662,7.0,7.0,0.0,False,0.0,0.0208925334115804,5.806547125,13.0929656566004,12.411276496261069,13.595151174148697
P72717,7R0W,Cytochrome b6-f complex subunit 8,2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
P72798,7R0W,"Uncharacterized protein Cp097, conserved in cyanobacteria",2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
Q02641,7VFS,Voltage-dependent L-type calcium channel subunit beta-1,2.8,EM,True,,2385,1.0,1.0,0.0,False,0.0,-0.0065686554593101,43.97964929,37.908784846866624,38.4986308881464,37.41544755833201
Q02795,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,2.8,EM,True,,2100,1.0,8.0,7.0,True,0.0,-0.0252087284039646,11.085691959999998,17.179407889429246,18.31590581647932,18.784795303798663
B4EKB4,5B57,"Putative hemin ABC transport system, membrane protein",2.8,X-ray,True,,1177,2.0,2.0,0.0,False,0.006,0.0035520745862562,17.39792865,23.53815271513451,23.33753598174805,23.532812599464627
B4EKB5,5B57,Hemin import ATP-binding protein HmuV,2.8,X-ray,True,,1177,2.0,2.0,0.0,False,0.006,0.0035520745862562,17.39792865,23.53815271513451,23.33753598174805,23.532812599464627
P26290,7R0W,"Rieske domain, PetC",2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
P26287,7R0W,Cytochrome f,2.8,EM,True,,2040,2.0,16.0,14.0,True,0.0,-0.0138528959034928,3.075199665,5.89921594936224,6.228153561536538,9.89376801506171
P37299,6T0B,Cytochrome b-c1 complex subunit 10,2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
Q9DBG5,1SZI,mannose-6-phosphate receptor binding protein 1,2.8,X-ray,False,no_TM_span,194,0.0,,,,,,,,,
P25656,6PSY,Cell division control protein 50,2.8,EM,True,,1429,1.0,2.0,1.0,True,0.0,-0.0290229485381791,8.765994470000003,15.607700524106306,16.77123279563354,16.704199178749754
I7MM45,8B6J,"Transmembrane protein, putative",2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
I7MFL6,8B6J,"Transmembrane protein, putative",2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
I7M484,8B6J,"Transmembrane protein, putative",2.8,EM,True,,5445,2.0,14.0,12.0,True,0.0,0.0428408764876579,25.71058023,31.70840093591258,28.76702461546368,28.607572191170853
P10174,6T0B,Cytochrome c oxidase subunit 7,2.8,EM,True,,7839,2.0,32.0,30.0,True,0.0,0.0021261705577405,77.222148705,49.0832466155068,48.83025545562414,49.57879926456096
A0A8D1K2Z9,7VBP,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",2.8,EM,True,,4652,1.0,20.0,19.0,True,0.0,-0.0135200426280319,30.908476115,30.1444306277047,31.16220887139129,31.36634105897604
Q6NEF1,7W7C,Putative ABC transport system integral membrane protein,2.8,X-ray,True,,762,2.0,2.0,0.0,False,0.0,0.0130821843830168,6.076339794999999,13.564330212229889,13.127676057023484,13.907404605319025
Q60610,1FOE,T-LYMPHOMA INVASION AND METASTASIS INDUCING PROTEIN 1,2.8,X-ray,False,no_TM_span,545,0.0,,,,,,,,,
O45730,7VX8,"Peroxisomal Membrane Protein related,ATP-binding cassette sub-family D member 1",2.8,EM,True,,1120,2.0,2.0,0.0,False,0.0,0.0263398514460974,13.076749705000005,20.183005059674556,18.8932728909099,20.402104573431803
A0A9X9ZA26,7TS0,G protein gamma subunit,2.8,EM,True,,1187,1.0,1.0,0.0,False,0.0,0.0467832194352936,5.838297625,13.29160285856397,11.760975309832334,13.632269996302323
Q9X219,5KYM,1-acyl-sn-glycerol-3-phosphate acyltransferase,2.8,X-ray,False,no_TM_span,241,0.0,,,,,,,,,
Q6QNK2,7WU2,Adhesion G-protein coupled receptor D1,2.8,EM,True,,1010,1.0,1.0,0.0,False,0.0,0.0681390447654688,4.56481386,13.13505745191078,11.163797573063231,12.054150240588468
P55089,6PB1,Urocortin,2.8,EM,True,,1074,1.0,1.0,0.0,False,0.0,0.0418611752999208,5.19667904,14.074813878375169,12.78267060787554,12.861393057348378
A0A6P3E7B5,6ZKF,"Mitochondrial complex I, 10 kDa subunit",2.8,EM,True,,8158,1.0,20.0,19.0,True,0.0,-0.003580399489474,30.48987428,30.38594822971963,30.653646526927847,31.15321558334691
Q7Z3C6,6WQZ,Autophagy-related protein 9A,2.8,EM,True,,1715,3.0,3.0,0.0,False,0.0,-0.103040500996967,39.09670936500001,30.70620034947388,39.43017449680495,35.277286046596465
Q7VYU0,6BQO,Fluoride ion transporter CrcB,2.8,X-ray,True,,255,2.0,2.0,0.0,False,0.012,0.0174557279430035,5.16710972,13.256890125382435,12.719613295796451,12.82474992688886
A0A6P7EX23,6ZKF,"Mitochondrial complex I, 13 kDa subunit",2.8,EM,True,,8158,1.0,20.0,19.0,True,0.0,-0.003580399489474,30.48987428,30.38594822971963,30.653646526927847,31.15321558334691
Q9I6X0,3SY9,Histidine porin OpdC,2.8,X-ray,True,,371,1.0,1.0,0.0,False,0.0,-0.0282207786013141,10.680280665000003,18.164621622797256,19.413432376278664,18.43810978079665
Q01667,4XK8,"Chlorophyll a-b binding protein 6, chloroplastic",2.8,X-ray,True,,3176,2.0,13.0,11.0,True,0.006,0.027556407277929,38.628848340000005,36.29234491419719,33.973269986966564,35.06557331417285
Q79VE9,7QHM,Cytochrome bc1 complex cytochrome b subunit,2.8,EM,True,,5900,4.0,20.0,16.0,True,0.038,0.0508169172981173,71.99389589999998,51.39622787251936,45.55784651628378,47.87104428551426
