uniprot,entity,pdb,name,resolution,method
P56782,7OUI_12,7OUI,Photosystem II reaction center protein K,2.79,EM
P30968,7BR3_1,7BR3,"Gonadotropin-releasing hormone receptor,GlgA glycogen synthase,Gonadotropin-releasing hormone receptor",2.79,X-ray
Q9S7M0,7OUI_2,7OUI,"Chlorophyll a-b binding protein 3, chloroplastic",2.79,EM
P56790,7OUI_19,7OUI,Photosystem II reaction center protein Z,2.79,EM
P56696,7VNP_1,7VNP,"Potassium voltage-gated channel subfamily KQT member 4,Maltodextrin-binding protein",2.79,EM
P56780,7OUI_10,7OUI,Photosystem II reaction center protein H,2.79,EM
P62100,7OUI_11,7OUI,Photosystem II reaction center protein I,2.79,EM
P56778,7OUI_6,7OUI,Photosystem II CP43 reaction center protein,2.79,EM
P56779,7OUI_8,7OUI,Cytochrome b559 subunit alpha,2.79,EM
P56777,7OUI_5,7OUI,Photosystem II CP47 reaction center protein,2.79,EM
P56761,7OUI_7,7OUI,Photosystem II D2 protein,2.79,EM
P60129,7OUI_13,7OUI,Photosystem II reaction center protein L,2.79,EM
A0A7G2E9B1,7OUI_18,7OUI,(thale cress) hypothetical protein,2.79,EM
P37432,3NSG_1,3NSG,Outer membrane protein F,2.79,X-ray
Q9XF89,7OUI_20,7OUI,"Chlorophyll a-b binding protein CP26, chloroplastic",2.79,EM
A0QXA7,7D5I_2,7D5I,Integral membrane cytochrome D ubiquinol oxidase (Subunit II) CydB,2.79,EM
P61839,7OUI_16,7OUI,Photosystem II reaction center protein T,2.79,EM
P62095,7OUI_9,7OUI,Cytochrome b559 subunit beta (PsbF),2.79,EM
Q39195,7OUI_23,7OUI,"Photosystem II 5 kDa protein, chloroplastic",2.79,EM
Q39194,7OUI_17,7OUI,"Photosystem II reaction center W protein, chloroplastic",2.79,EM
A0QXA8,7D5I_1,7D5I,Cytochrome D ubiquinol oxidase subunit 1,2.79,EM
Q39142,7OUI_1,7OUI,"Chlorophyll a-b binding protein, chloroplastic",2.79,EM
P62109,7OUI_14,7OUI,Photosystem II reaction center protein M,2.79,EM
Q07473,7OUI_22,7OUI,"Chlorophyll a-b binding protein CP29.1, chloroplastic",2.79,EM
P23321,7OUI_15,7OUI,"Oxygen-evolving enhancer protein 1-1, chloroplastic",2.79,EM
P83755,7OUI_4,7OUI,Photosystem II protein D1,2.79,EM
P04778,7OUI_21,7OUI,"Chlorophyll a-b binding protein 1, chloroplastic",2.79,EM
Q9LMQ2,7OUI_3,7OUI,"Chlorophyll a-b binding protein, chloroplastic",2.79,EM
Q47WB4,7TAK_1,7TAK,Putative membrane protein PurT,2.79828,X-ray
F8W463,4DW1_1,4DW1,P2X purinoceptor,2.8,X-ray
F2Z293,3PL9_1,3PL9,Chlorophyll A-B binding protein,2.8,X-ray
P48039,6ME2_1,6ME2,chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase,2.8,X-ray
Q9AEL8,7QHM_6,7QHM,Cytochrome c oxidase subunit 3,2.8,EM
P02920,6VBG_1,6VBG,Galactoside permease,2.8,X-ray
A0A2K1IHL7,7KUX_9,7KUX,PsaE,2.8,EM
A0A2K1IB10,7KUX_5,7KUX,"Chlorophyll a-b binding protein, chloroplastic",2.8,EM
P05311,4XK8_2,4XK8,Photosystem I P700 chlorophyll a apoprotein A2,2.8,X-ray
Q950Z1,8B6J_3,8B6J,Apocytochrome b,2.8,EM
Q94IB8,7YJO_4,7YJO,atLCB1,2.8,EM
Q96A98,7F16_2,7F16,Tuberoinfundibular peptide of 39 residues,2.8,EM
A0A2K1IW94,7KUX_4,7KUX,"Chlorophyll a-b binding protein, chloroplastic",2.8,EM
A0A2K1IN36,7KUX_10,7KUX,PSI-F,2.8,EM
P49190,7F16_1,7F16,Parathyroid hormone 2 receptor,2.8,EM
P49146,7DDZ_1,7DDZ,Human Neuropeptide Y Y2 Receptor fusion protein,2.8,X-ray
Q9LSZ9,7YJO_2,7YJO,Long chain base biosynthesis protein 2a,2.8,EM
P42838,7KYC_2,7KYC,Alkylphosphocholine resistance protein LEM3,2.8,EM
H9ZSC3,5AZD_1,5AZD,Bacteriorhodopsin,2.8,X-ray
P31391,7XMT_1,7XMT,Somatostatin receptor type 4,2.8,EM
Q99380,8AGE_2,8AGE,OST4 isoform 1,2.8,EM
P04037,6T0B_14,6T0B,"Cytochrome c oxidase subunit 4, mitochondrial",2.8,EM
P04039,6T0B_18,6T0B,"Cytochrome c oxidase polypeptide VIII, mitochondrial",2.8,EM
P46964,8AGE_4,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2,2.8,EM
P47863,2ZZ9_1,2ZZ9,Aquaporin-4,2.8,EM
Q38998,7T4X_1,7T4X,Potassium channel AKT1,2.8,EM
D2ZZC1,4QTN_1,4QTN,Nicotinamide riboside transporter PnuC,2.8,X-ray
Q9UK17,7W6S_2,7W6S,Isoform 2 of Potassium voltage-gated channel subfamily D member 3,2.8,EM
Q29259,7V2E_25,7V2E,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,2.8,EM
Q1M0Y5,3EBW_1,3EBW,Per a 4 allergen,2.8,X-ray
P18825,6KUW_1,6KUW,Alpha-2C adrenergic receptor,2.8,X-ray
Q24IM5,8B6J_4,8B6J,Cytochrome protein c1,2.8,EM
Q2V2P9,6T0B_22,6T0B,Cox26,2.8,EM
B1AL88,6XIW_2,6XIW,Transmembrane protein FAM155A,2.8,EM
P21462,7VFX_1,7VFX,fMet-Leu-Phe receptor,2.8,EM
Q0SXH8,4N4W_1,4N4W,"Cytochrome b(562),Smoothened homolog",2.8,X-ray
A8MSB8,7YJO_5,7YJO,"Transmembrane protein, putative (DUF3317)",2.8,EM
A9UTG5,2XHE_2,2XHE,SYNTAXIN1,2.8,X-ray
Q28107,1SDD_2,1SDD,Coagulation factor V,2.8,X-ray
P19491,8AYN_1,8AYN,Isoform Flip of Glutamate receptor 2,2.8,EM
P19490,8AYN_3,8AYN,Isoform Flip of Glutamate receptor 1,2.8,EM
Q1GBG0,6ZG3_3,6ZG3,Conserved hypothetical membrane protein,2.8,X-ray
Q23K66,8B6J_6,8B6J,Ubiquinol-cytochrome C reductase hinge protein,2.8,EM
Q15465,7URF_2,7URF,SHH-N peptide,2.8,EM
P32799,6T0B_21,6T0B,"Cytochrome c oxidase subunit 6A, mitochondrial",2.8,EM
Q9HVM5,5DIR_1,5DIR,Lipoprotein signal peptidase,2.8,X-ray
P32660,7KYC_1,7KYC,Phospholipid-transporting ATPase DNF1,2.8,EM
Q13324,6PB1_1,6PB1,Corticotropin-releasing factor receptor 2,2.8,EM
Q15036,3FOG_1,3FOG,Sorting nexin-17,2.8,X-ray
Q9NS61,7W6S_1,7W6S,Kv channel-interacting protein 2,2.8,EM
P14693,7BTX_2,7BTX,Sorting assembly machinery 35 kDa subunit,2.8,EM
P63359,6BL6_1,6BL6,Lipid A export ATP-binding/permease protein MsbA,2.8,X-ray
Q9HUR5,2QTK_1,2QTK,Probable porin,2.8,X-ray
P33767,8AGE_7,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit WBP1,2.8,EM
P23979,6Y5A_1,6Y5A,5-hydroxytryptamine receptor 3A,2.8,EM
P23945,8I2G_5,8I2G,Follicle-stimulating hormone receptor,2.8,EM
Q04519,5FIC_1,5FIC,Sphingomyelin phosphodiesterase,2.8,X-ray
P16615,6LN7_1,6LN7,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,2.8,EM
Q53TN4,5ZLG_1,5ZLG,Cytochrome b reductase 1,2.8,X-ray
Q58K79,3WGU_3,3WGU,Na+/K+ ATPase gamma subunit transcript variant a,2.8,X-ray
Q5JWF2,8I2G_1,8I2G,chimera of Guanine nucleotide-binding protein G(s) subunit alpha and Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,2.8,EM
P12357,4XK8_7,4XK8,"Photosystem I reaction center subunit V, chloroplastic",2.8,X-ray
Q5SKE6,5YHF_1,5YHF,Protein translocase subunit SecDF,2.8,X-ray
P60752,7PH4_1,7PH4,ATP-dependent lipid A-core flippase,2.8,EM
P35372,8EFO_1,8EFO,Mu-type opioid receptor,2.8,EM
C6T221,4XK8_8,4XK8,Putative uncharacterized protein,2.8,X-ray
P74810,7R0W_6,7R0W,Cytochrome b6-f complex subunit 7,2.8,EM
P74149,7R0W_7,7R0W,Cytochrome b6-f complex subunit 5,2.8,EM
P77335,6MRT_1,6MRT,"Hemolysin E, chromosomal",2.8,EM
B5TM92,8BQ6_8,8BQ6,NADH-ubiquinone oxidoreductase chain 1,2.8,EM
A0A7M4DUF5,6ZKF_19,6ZKF,"Mitochondrial complex I, PDSW subunit",2.8,EM
Q7CQU0,3Q7K_1,3Q7K,Probable formate transporter,2.8,X-ray
Q57038,7R0W_2,7R0W,Cytochrome b6,2.8,EM
B4FZ94,6I1R_1,6I1R,CMP-sialic acid transporter 1,2.8,X-ray
O32739,6UWR_1,6UWR,ADP-ribosyltransferase binding component,2.8,EM
P72717,7R0W_8,7R0W,Cytochrome b6-f complex subunit 8,2.8,EM
P72798,7R0W_1,7R0W,"Uncharacterized protein Cp097, conserved in cyanobacteria",2.8,EM
Q02641,7VFS_3,7VFS,Voltage-dependent L-type calcium channel subunit beta-1,2.8,EM
Q02795,8AGE_6,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,2.8,EM
B4EKB4,5B57_1,5B57,"Putative hemin ABC transport system, membrane protein",2.8,X-ray
B4EKB5,5B57_2,5B57,Hemin import ATP-binding protein HmuV,2.8,X-ray
P26290,7R0W_9,7R0W,"Rieske domain, PetC",2.8,EM
P26287,7R0W_4,7R0W,Cytochrome f,2.8,EM
P37299,6T0B_10,6T0B,Cytochrome b-c1 complex subunit 10,2.8,EM
Q9DBG5,1SZI_1,1SZI,mannose-6-phosphate receptor binding protein 1,2.8,X-ray
P25656,6PSY_2,6PSY,Cell division control protein 50,2.8,EM
I7MM45,8B6J_9,8B6J,"Transmembrane protein, putative",2.8,EM
I7MFL6,8B6J_11,8B6J,"Transmembrane protein, putative",2.8,EM
I7M484,8B6J_8,8B6J,"Transmembrane protein, putative",2.8,EM
P10174,6T0B_17,6T0B,Cytochrome c oxidase subunit 7,2.8,EM
A0A8D1K2Z9,7VBP_14,7VBP,"NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial",2.8,EM
Q6NEF1,7W7C_2,7W7C,Putative ABC transport system integral membrane protein,2.8,X-ray
Q60610,1FOE_1,1FOE,T-LYMPHOMA INVASION AND METASTASIS INDUCING PROTEIN 1,2.8,X-ray
O45730,7VX8_1,7VX8,"Peroxisomal Membrane Protein related,ATP-binding cassette sub-family D member 1",2.8,EM
A0A9X9ZA26,7TS0_5,7TS0,G protein gamma subunit,2.8,EM
Q9X219,5KYM_1,5KYM,1-acyl-sn-glycerol-3-phosphate acyltransferase,2.8,X-ray
Q6QNK2,7WU2_5,7WU2,Adhesion G-protein coupled receptor D1,2.8,EM
P55089,6PB1_2,6PB1,Urocortin,2.8,EM
A0A6P3E7B5,6ZKF_20,6ZKF,"Mitochondrial complex I, 10 kDa subunit",2.8,EM
Q7Z3C6,6WQZ_1,6WQZ,Autophagy-related protein 9A,2.8,EM
Q7VYU0,6BQO_1,6BQO,Fluoride ion transporter CrcB,2.8,X-ray
A0A6P7EX23,6ZKF_21,6ZKF,"Mitochondrial complex I, 13 kDa subunit",2.8,EM
Q9I6X0,3SY9_1,3SY9,Histidine porin OpdC,2.8,X-ray
Q01667,4XK8_13,4XK8,"Chlorophyll a-b binding protein 6, chloroplastic",2.8,X-ray
Q79VE9,7QHM_2,7QHM,Cytochrome bc1 complex cytochrome b subunit,2.8,EM
Q79VE8,7QHM_1,7QHM,Cytochrome bc1 complex Rieske iron-sulfur subunit,2.8,EM
Q79VD7,7QHM_4,7QHM,Cytochrome c oxidase subunit 1,2.8,EM
P38054,7KF7_1,7KF7,Cation efflux system protein CusA,2.8,EM
P27589,7R0W_3,7R0W,Cytochrome b6-f complex subunit 4,2.8,EM
B5TM94,8BQ6_12,8BQ6,NADH-ubiquinone oxidoreductase chain 5,2.8,EM
B5TM93,8BQ6_13,8BQ6,NADH-ubiquinone oxidoreductase chain 4,2.8,EM
P31213,7BW1_1,7BW1,3-oxo-5-alpha-steroid 4-dehydrogenase 2,2.8,X-ray
P31697,3RFZ_3,3RFZ,Chaperone protein fimC,2.8,X-ray
A0A6P9FRJ5,6ZKF_44,6ZKF,"Mitochondrial complex I, MWFE subunit",2.8,EM
Q01519,6T0B_20,6T0B,Cytochrome c oxidase subunit 6B,2.8,EM
Q8A5H6,5FQ6_1,5FQ6,PUTATIVE LIPOPROTEIN,2.8,X-ray
Q8A5H8,5FQ6_3,5FQ6,UNCHARACTERIZED PROTEIN,2.8,X-ray
Q8A5H5,5FQ6_2,5FQ6,SUSC/RAGA FAMILY TONB-LINKED OUTER MEMBRANE PROTEIN,2.8,X-ray
Q8C1E7,7N0L_1,7N0L,Ion channel TACAN,2.8,EM
P53721,6T0B_23,6T0B,"Respiratory supercomplex factor 2, mitochondrial",2.8,EM
E9P977,7BTX_1,7BTX,Mitochondrial outer membrane beta-barrel protein,2.8,EM
P54289,7VFS_2,7VFS,Voltage-dependent calcium channel subunit alpha-2/delta-1,2.8,EM
P54317,2OXE_1,2OXE,Pancreatic lipase-related protein 2,2.8,X-ray
P41143,6PT2_1,6PT2,Delta opioid receptor,2.8,X-ray
A0A7M4DUG1,6ZKF_43,6ZKF,"Mitochondrial complex I, MNLL subunit",2.8,EM
P0AFS7,7OT9_1,7OT9,AI-2E member YdiK,2.8,EM
A0A6P3E975,6ZKF_35,6ZKF,"Mitochondrial complex I, B16.6 subunit",2.8,EM
A0A6P3EDV0,6ZKF_42,6ZKF,"Mitochondrial complex I, KFYI subunit",2.8,EM
A0A6P3TFB2,6ZKF_7,6ZKF,"Mitochondrial complex I, TYKY subunit",2.8,EM
P05027,3WGU_2,3WGU,Sodium/potassium-transporting ATPase subunit beta-1,2.8,X-ray
P05024,3WGU_1,3WGU,Sodium/potassium-transporting ATPase subunit alpha-1,2.8,X-ray
P49238,7XBW_4,7XBW,CX3C chemokine receptor 1,2.8,EM
P01225,8I2G_7,8I2G,Follitropin subunit beta,2.8,EM
Q8ZQZ7,4N4R_2,4N4R,LPS-assembly lipoprotein LptE,2.8,X-ray
Q92316,8AGE_3,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST5,2.8,EM
P01042,7F6I_2,7F6I,Kallidin,2.8,EM
P08191,3RFZ_1,3RFZ,Type 1 fimbrial adhesin,2.8,X-ray
Q8ZRW0,4N4R_1,4N4R,LPS-assembly protein LptD,2.8,X-ray
Q8VHW5,8AYN_2,8AYN,Voltage-dependent calcium channel gamma-8 subunit,2.8,EM
Q9BY11,3QNI_1,3QNI,Protein kinase C and casein kinase substrate in neurons protein 1,2.8,X-ray
A0A411LJN5,8ANQ_1,8ANQ,Bacteriorhodopsin,2.8,X-ray
P00427,6T0B_16,6T0B,"Cytochrome c oxidase subunit 6, mitochondrial",2.8,EM
P00425,6T0B_15,6T0B,"Cytochrome c oxidase polypeptide 5B, mitochondrial",2.8,EM
P39007,8AGE_1,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3,2.8,EM
Q9C5I0,7YJO_3,7YJO,ORMDL family protein,2.8,EM
P50110,7BTX_3,7BTX,Sorting assembly machinery 37 kDa subunit,2.8,EM
Q8NNK3,7QHM_7,7QHM,Cytochrome c oxidase polypeptide 4,2.8,EM
Q8NSJ8,7QHM_12,7QHM,Hypothetical membrane protein,2.8,EM
Q8NP09,7QHM_9,7QHM,Uncharacterized membrane protein Cgl2017/cg2211,2.8,EM
Q8NNK5,7QHM_3,7QHM,Cytochrome bc1 complex cytochrome c subunit,2.8,EM
P54708,7X21_1,7X21,Potassium-transporting ATPase alpha chain 2,2.8,EM
P40879,7XUJ_1,7XUJ,Chloride anion exchanger,2.8,EM
Q9R744,2OLV_1,2OLV,Penicillin-binding protein 2,2.8,X-ray
Q8NTD4,7QHM_10,7QHM,Hypothetical membrane protein,2.8,EM
Q9Y3M8,2PSO_1,2PSO,StAR-related lipid transfer protein 13,2.8,X-ray
Q8NNK2,7QHM_5,7QHM,Cytochrome c oxidase subunit 2,2.8,EM
Q8NMB4,7QHM_8,7QHM,Uncharacterized protein Cgl2664/cg2949,2.8,EM
Q8IZF0,6XIW_1,6XIW,Sodium leak channel non-selective protein,2.8,EM
P56726,6O3C_1,6O3C,Smoothened homolog,2.8,X-ray
P41543,8AGE_5,8AGE,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,2.8,EM
P39524,6PSY_1,6PSY,Probable phospholipid-transporting ATPase DRS2,2.8,EM
P00401,6T0B_11,6T0B,Cytochrome c oxidase subunit 1,2.8,EM
G0LFX8,4WAV_1,4WAV,Bacteriorhodopsin-I,2.8,X-ray
P42461,7QHM_13,7QHM,Thiamine biosynthesis protein X,2.8,EM
P43116,7CX3_1,7CX3,Prostaglandin E2 receptor EP2 subtype,2.8,EM
P48645,7W55_3,7W55,Neuromedin-U-25,2.8,EM
P48439,8AGE_8,8AGE,OST3 isoform 1,2.8,EM
A0A2K1KIF2,7KUX_16,7KUX,PSI subunit V,2.8,EM
A0A2K1JLZ3,7KUX_3,7KUX,"Chlorophyll a-b binding protein, chloroplastic",2.8,EM
P51681,7F1S_1,7F1S,C-C chemokine receptor type 5,2.8,EM
P51686,5LWE_1,5LWE,C-C chemokine receptor type 9,2.8,X-ray
A0A2K1JDR4,7KUX_12,7KUX,PsaH,2.8,EM
P07340,7X21_2,7X21,Sodium/potassium-transporting ATPase subunit beta-1,2.8,EM
Q00975,7VFS_1,7VFS,Voltage-dependent N-type calcium channel subunit alpha-1B,2.8,EM
P97612,1MT5_1,1MT5,Fatty-acid amide hydrolase,2.8,X-ray
P00420,6T0B_13,6T0B,Cytochrome c oxidase subunit 3,2.8,EM
P00410,6T0B_12,6T0B,Cytochrome c oxidase subunit 2,2.8,EM
P07255,6T0B_19,6T0B,Cytochrome c oxidase subunit 7A,2.8,EM
A0A2K1JLW2,7KUX_15,7KUX,PsaK,2.8,EM
P30411,7F6I_1,7F6I,Bradykinin receptor BK2R,2.8,EM
P30130,3RFZ_2,3RFZ,"Outer membrane usher protein, type 1 fimbrial synthesis",2.8,X-ray
Q72JD8,3DZM_1,3DZM,Hypothetical conserved protein,2.801,X-ray
O05111,1YEW_3,1YEW,particulate methane monooxygenase subunit C2,2.801,X-ray
Q8AWD0,4BUM_1,4BUM,VOLTAGE-DEPENDENT ANION CHANNEL 2,2.801,X-ray
P0AC98,5ZUG_1,5ZUG,Succinate-acetate/proton symporter SatP,2.802,X-ray
Q7K4Y6,6M2R_1,6M2R,Sodium-dependent dopamine transporter,2.802,X-ray
P83793,4I7Z_3,4I7Z,Apocytochrome f,2.803,X-ray
P83792,4I7Z_2,4I7Z,Cytochrome b6-f complex subunit 4,2.803,X-ray
P83798,4I7Z_8,4I7Z,Cytochrome b6-f complex subunit 8,2.803,X-ray
P83797,4I7Z_7,4I7Z,Cytochrome b6-f complex subunit 5,2.803,X-ray
P83796,4I7Z_6,4I7Z,Cytochrome b6-f complex subunit 7,2.803,X-ray
P83794,4I7Z_4,4I7Z,Cytochrome b6-f complex iron-sulfur subunit,2.803,X-ray
P83791,4I7Z_1,4I7Z,Cytochrome b6,2.803,X-ray
P83795,4I7Z_5,4I7Z,Cytochrome b6-f complex subunit 6,2.803,X-ray
Q55415,6KI1_1,6KI1,Low affinity sulfate transporter,2.809,X-ray
P69540,8B3P_3,8B3P,Capsid protein G8P,2.81,EM
P69534,8B3P_1,8B3P,Tail virion protein G7P,2.81,EM
Q99969,7YKD_1,7YKD,Retinoic acid receptor responder protein 2,2.81,EM
G0SBE6,7PR1_1,7PR1,Putative iron-sulfur protein,2.81,EM
P69537,8B3P_2,8B3P,Tail virion protein G9P,2.81,EM
A0R612,7BVE_1,7BVE,Integral membrane indolylacetylinositol arabinosyltransferase EmbC,2.81,EM
P06858,6OB0_1,6OB0,Lipoprotein lipase,2.81,X-ray
Q8IV16,6OB0_2,6OB0,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,2.81,X-ray
Q99788,7YKD_2,7YKD,Chemerin-like receptor 1,2.81,EM
A0A0G2KTI4,8FHQ_1,8FHQ,"Solute carrier family 12 member 2,Solute carrier family 12 member 3 chimera",2.81,EM
W9B4M6,8FFK_1,8FFK,Efflux pump membrane transporter,2.82,EM
H8Z3S4,7C9R_8,7C9R,Antenna complex alpha/beta subunit,2.82,EM
H8Z3S2,7C9R_1,7C9R,Photosynthetic reaction center cytochrome c subunit,2.82,EM
H8Z3R9,7C9R_9,7C9R,LHC domain-containing protein,2.82,EM
G1BIY5,7C9R_5,7C9R,Alpha subunit 1 of light-harvesting 1 complex,2.82,EM
O87953,7ZP9_2,7ZP9,Ktr system potassium uptake protein B,2.82,EM
O87952,7ZP9_1,7ZP9,Ktr system potassium uptake protein A,2.82,EM
G1BIY4,7C9R_7,7C9R,Antenna complex alpha/beta subunit,2.82,EM
H8Z0X5,7C9R_4,7C9R,"Photosynthetic reaction center, subunit H, bacterial",2.82,EM
G1BIY9,7C9R_6,7C9R,Antenna complex alpha/beta subunit,2.82,EM
G1BIY7,7C9R_3,7C9R,Reaction center protein M chain,2.82,EM
G1BIY6,7C9R_2,7C9R,L subunit of the reaction center,2.82,EM
G1BIZ0,7C9R_10,7C9R,Alpha subunit 2 of light-harvesting 1 complex,2.82,EM
F1QAI2,8DE8_1,8DE8,"Potassium channel, subfamily K, member 2a",2.82,EM
P69434,4Y25_1,4Y25,"Poly-beta-1,6-N-acetyl-D-glucosamine export protein",2.821,X-ray
Q5ZSD5,4FYG_1,4FYG,"SidF, inhibitor of growth family, member 3",2.822,X-ray
Q9NV96,6K7L_2,6K7L,Cell cycle control protein 50A,2.83,EM
Q92633,7TD0_1,7TD0,Lysophosphatidic acid receptor 1,2.83,EM
Q5T601,7WZ7_5,7WZ7,Adhesion G-protein coupled receptor F1,2.83,EM
Q80TS3,7WY8_1,7WY8,Isoform 3 of Adhesion G protein-coupled receptor L3,2.83,EM
D0C8V9,5FR8_1,5FR8,TONB-DEPENDENT SIDEROPHORE RECEPTOR,2.83,X-ray
Q9Y2Q0,6K7L_1,6K7L,Phospholipid-transporting ATPase,2.83,EM
R1DBK9,7X5V_2,7X5V,ion channel,2.83,EM
Q96RD7,6WBN_1,6WBN,Pannexin-1,2.83,EM
P61012,4KYT_2,4KYT,Cardiac phospholamban,2.833,X-ray
Q9JHF9,2Z64_2,2Z64,Lymphocyte antigen 96,2.84,X-ray
P28335,8DPF_1,8DPF,5-hydroxytryptamine receptor 2C,2.84,EM
Q9Y210,6UZ8_1,6UZ8,Short transient receptor potential channel 6,2.84,EM
A0QT08,6LUM_4,6LUM,Succinate dehydrogenase subunit A,2.84,EM
P13352,7DZ7_8,7DZ7,"Photosystem I reaction center subunit VI, chloroplastic",2.84,EM
P92941,7XA9_1,7XA9,Chloride channel protein CLC-a,2.84,EM
Q2FFA3,5K59_2,5K59,Uncharacterized leukocidin-like protein 1,2.84,X-ray
D0FXW7,6SL5_3,6SL5,Photosystem I iron-sulfur center,2.84,EM
A0A2T4JIR4,7DDQ_1,7DDQ,Antenna pigment protein alpha chain,2.84,EM
D0FXZ0,6SL5_2,6SL5,Photosystem I P700 chlorophyll a apoprotein A2,2.84,EM
P34972,8GUR_4,8GUR,Cannabinoid receptor 2,2.84,EM
A0A2T4JIN0,7DDQ_5,7DDQ,Reaction center protein M chain,2.84,EM
Q9QUK6,2Z64_1,2Z64,Toll-like receptor 4,2.84,X-ray
A0R4D1,6LUM_3,6LUM,Succinate dehydrogenase subunit F,2.84,EM
A0A8X6EH36,7W74_1,7W74,Bacteriorhodopsin-like protein,2.84,X-ray
A0QT10,6LUM_1,6LUM,Succinate dehydrogenase subunit C,2.84,EM
A0QT09,6LUM_2,6LUM,Succinate dehydrogenase subunit D,2.84,EM
D0FXW0,6SL5_7,6SL5,Photosystem I reaction center subunit IX,2.84,EM
Q9ZSJ4,7DZ7_26,7DZ7,"Chlorophyll a-b binding protein, chloroplastic",2.84,EM
A0A2T4JIS6,7DDQ_4,7DDQ,Photosynthetic reaction center L subunit,2.84,EM
A0A2T4JIP3,7DDQ_3,7DDQ,PufX,2.84,EM
A0A2T4JIL7,7DDQ_2,7DDQ,Antenna pigment protein beta chain,2.84,EM
A0A2T4JIP4,7DDQ_6,7DDQ,Photosynthetic reaction center subunit H,2.84,EM
D0FXV2,6SL5_1,6SL5,Photosystem I P700 chlorophyll a apoprotein A1,2.84,EM
P23895,7MH6_2,7MH6,Multidrug transporter EmrE,2.85,X-ray
Q16A03,4XYD_2,4XYD,NorC-like protein,2.85,X-ray
Q9KP75,6MJP_3,6MJP,FIG000988: Predicted permease,2.85,X-ray
Q0VNY2,7PGG_1,7PGG,Ion transport protein,2.85,X-ray
Q9KP51,6MJP_2,6MJP,Lipopolysaccharide export system protein LptC,2.85,X-ray
Q16A04,4XYD_1,4XYD,Nitric-oxide reductase subunit B,2.85,X-ray
A0A0H2ZPI2,7KYO_4,7KYO,"Manganese ABC transporter, permease protein",2.85,X-ray
Q8I2Q0,6TLB_1,6TLB,Serine/threonine protein kinase,2.85,Multiple methods
D6R8X8,2JLN_1,2JLN,MHP1,2.85,X-ray
Q8BHY3,7ZK3_1,7ZK3,Anoctamin-1,2.85,EM
Q9NRK6,4AYT_1,4AYT,ATP-BINDING CASSETTE SUB-FAMILY B MEMBER 10 MITOCHONDRIAL,2.85,X-ray
Q9KP76,6MJP_4,6MJP,LPS export ABC transporter permease LptG,2.85,X-ray
O30650,6MJP_1,6MJP,ABC transporter ATP-binding protein,2.85,X-ray
Q1I8U1,4MJT_2,4MJT,Monalysin,2.85,X-ray
U3N7D8,7B0J_1,7B0J,Transient receptor potential cation channel subfamily c member 4a,2.85,EM
P33302,7P04_1,7P04,Pleiotropic ABC efflux transporter of multiple drugs,2.85,EM
A0A0H3FYJ7,5O78_1,5O78,Phosphoporin PhoE,2.85,X-ray
P36544,7EKP_1,7EKP,Neuronal acetylcholine receptor subunit alpha-7,2.85,EM
P55017,7Y6I_1,7Y6I,Solute carrier family 12 member 3,2.85,EM
Q6DCU6,7W2G_1,7W2G,Sigma non-opioid intracellular receptor 1,2.851,X-ray
Q55996,3HVN_1,3HVN,Hemolysin,2.852,X-ray
O14521,8GS8_4,8GS8,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",2.86,EM
Q2FD94,7M4P_1,7M4P,Efflux pump membrane transporter,2.86,EM
P01189,7PIV_2,7PIV,NDP-alpha-MSH (other names Afamelanotide; Scenesse),2.86,EM
Q5L1G5,5OQT_1,5OQT,Amino acid transporter,2.86,X-ray
P04635,2HIH_1,2HIH,Lipase 46 kDa form,2.86,X-ray
Q99643,8GS8_3,8GS8,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",2.86,EM
A5A616,5OQT_2,5OQT,Uncharacterized protein YneM,2.86,X-ray
P31040,8GS8_1,8GS8,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",2.86,EM
P0ABL8,7F04_2,7F04,Heme exporter protein B,2.86,EM
P0ABM1,7F04_3,7F04,Heme exporter protein C,2.86,EM
P21912,8GS8_2,8GS8,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",2.86,EM
P33931,7F04_1,7F04,Cytochrome c biogenesis ATP-binding export protein CcmA,2.86,EM
Q5FKK5,6WTW_1,6WTW,DASS family sodium-coupled anion symporter,2.86,X-ray
Q16581,8IA8_2,8IA8,C3a anaphylatoxin chemotactic receptor,2.86,EM
